                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.8308,                 0.9376,                 1.0856,                0.96147,                0.95968,                0.98336,                0.87253,                0.50465,                0.38685,                0.85512,              0.0096634,              0.0096634,              0.0096634
                     37,                0.83034,                0.91833,                 1.0841,                 0.9506,                0.96385,                0.98471,                0.87311,                0.51525,                0.38362,                0.85511,              0.0096535,              0.0096535,              0.0096535
                     38,                0.82047,                  0.922,                 1.0789,                0.93397,                0.93664,                0.97396,                0.85318,                0.54055,                0.45298,                0.87192,              0.0096436,              0.0096436,              0.0096436
                     39,                0.82633,                0.91951,                 1.0826,                0.96534,                0.95672,                0.98595,                0.86767,                0.52708,                0.38868,                0.86184,              0.0096337,              0.0096337,              0.0096337
                     40,                0.81883,                0.90396,                 1.0748,                0.94047,                0.95159,                0.98071,                0.86858,                0.51011,                0.39537,                0.86328,              0.0096238,              0.0096238,              0.0096238
                     41,                0.82533,                 0.9173,                 1.0791,                0.96479,                0.95909,                0.98777,                0.87627,                 0.5097,                0.37322,                0.85303,              0.0096139,              0.0096139,              0.0096139
                     42,                0.81302,                0.90869,                  1.073,                0.96132,                0.96518,                0.98817,                0.87802,                0.51138,                0.37659,                0.85756,               0.009604,               0.009604,               0.009604
                     43,                0.81571,                0.91019,                 1.0801,                0.96928,                0.96032,                0.98596,                0.87549,                0.50968,                0.36841,                0.85923,              0.0095941,              0.0095941,              0.0095941
                     44,                 0.8098,                0.90106,                 1.0716,                0.95727,                0.96287,                0.98826,                0.87645,                0.51856,                0.37849,                0.85963,              0.0095842,              0.0095842,              0.0095842
                     45,                0.81666,                0.90472,                 1.0738,                 0.9696,                0.96742,                0.98946,                0.87649,                0.51476,                0.37089,                0.86237,              0.0095743,              0.0095743,              0.0095743
                     46,                0.80957,                0.88055,                 1.0714,                0.96642,                0.95911,                0.98706,                0.87287,                0.52161,                0.36935,                 0.8565,              0.0095644,              0.0095644,              0.0095644
                     47,                0.80688,                0.87548,                 1.0715,                0.95632,                0.95644,                0.98502,                0.87574,                  0.506,                0.37366,                0.85621,              0.0095545,              0.0095545,              0.0095545
                     48,                0.80432,                0.86929,                 1.0693,                0.95808,                0.97236,                0.98708,                0.87401,                0.51155,                0.36521,                 0.8533,              0.0095446,              0.0095446,              0.0095446
                     49,                0.80132,                0.87433,                 1.0692,                 0.9609,                0.97397,                0.98591,                0.87669,                0.51716,                0.36595,                0.85689,              0.0095347,              0.0095347,              0.0095347
                     50,                0.80748,                0.88696,                 1.0759,                 0.9691,                0.96594,                0.98802,                0.88221,                0.49717,                0.36025,                0.85134,              0.0095248,              0.0095248,              0.0095248
                     51,                0.80549,                0.87624,                 1.0671,                0.96387,                 0.9561,                0.98486,                0.87841,                0.50113,                0.36033,                0.85752,              0.0095149,              0.0095149,              0.0095149
                     52,                0.79942,                0.86169,                 1.0698,                0.97019,                0.96976,                0.98909,                0.88317,                0.49731,                 0.3503,                0.85533,               0.009505,               0.009505,               0.009505
                     53,                0.80452,                0.87123,                 1.0672,                0.97041,                0.97356,                0.98752,                0.88495,                0.49332,                0.34464,                 0.8474,              0.0094951,              0.0094951,              0.0094951
                     54,                0.80399,                0.86464,                 1.0722,                0.97534,                0.97232,                0.99049,                0.88407,                0.49878,                0.34448,                0.85034,              0.0094852,              0.0094852,              0.0094852
